   longitude       latitude        Jan             Feb             Mar             Apr             May             June            July            Aug             Sept            Oct             Nov             Dec
  -3.0830000e+00   5.0750000e+01   4.8000000e+00   4.6000000e+00   6.2000000e+00   8.0000000e+00   1.0900000e+01   1.4000000e+01   1.5900000e+01   1.5800000e+01   1.3900000e+01   1.1300000e+01   7.6000000e+00   5.8000000e+00
  -3.2500000e+00   5.0750000e+01   4.8000000e+00   4.6000000e+00   6.1000000e+00   8.0000000e+00   1.0900000e+01   1.4000000e+01   1.5900000e+01   1.5700000e+01   1.3800000e+01   1.1200000e+01   7.5000000e+00   5.8000000e+00
  -3.4170000e+00   5.0750000e+01   5.0000000e+00   4.9000000e+00   6.5000000e+00   8.4000000e+00   1.1300000e+01   1.4300000e+01   1.6200000e+01   1.6100000e+01   1.4100000e+01   1.1400000e+01   7.6000000e+00   6.0000000e+00
  -3.5830000e+00   5.0750000e+01   5.0000000e+00   4.9000000e+00   6.4000000e+00   8.3000000e+00   1.1100000e+01   1.4100000e+01   1.6000000e+01   1.5900000e+01   1.4000000e+01   1.1300000e+01   7.6000000e+00   6.0000000e+00
  -3.7500000e+00   5.0750000e+01   4.8000000e+00   4.6000000e+00   6.1000000e+00   8.0000000e+00   1.0900000e+01   1.3800000e+01   1.5700000e+01   1.5600000e+01   1.3700000e+01   1.1000000e+01   7.5000000e+00   5.9000000e+00
  -3.9170000e+00   5.0750000e+01   4.4000000e+00   4.2000000e+00   5.6000000e+00   7.5000000e+00   1.0400000e+01   1.3300000e+01   1.5200000e+01   1.5100000e+01   1.3200000e+01   1.0600000e+01   7.1000000e+00   5.5000000e+00
  -4.0830000e+00   5.0750000e+01   4.7000000e+00   4.5000000e+00   5.9000000e+00   7.8000000e+00   1.0600000e+01   1.3500000e+01   1.5300000e+01   1.5300000e+01   1.3500000e+01   1.0900000e+01   7.4000000e+00   5.8000000e+00
  -4.2500000e+00   5.0750000e+01   5.2000000e+00   4.9000000e+00   6.2000000e+00   8.1000000e+00   1.0800000e+01   1.3600000e+01   1.5500000e+01   1.5500000e+01   1.3800000e+01   1.1300000e+01   7.8000000e+00   6.2000000e+00
  -4.4170000e+00   5.0750000e+01   5.5000000e+00   5.2000000e+00   6.5000000e+00   8.2000000e+00   1.0900000e+01   1.3600000e+01   1.5500000e+01   1.5600000e+01   1.3900000e+01   1.1500000e+01   8.1000000e+00   6.5000000e+00
  -4.5830000e+00   5.0750000e+01   5.5000000e+00   5.2000000e+00   6.4000000e+00   8.1000000e+00   1.0700000e+01   1.3400000e+01   1.5400000e+01   1.5400000e+01   1.3800000e+01   1.1400000e+01   8.1000000e+00   6.6000000e+00
   8.3000000e-02   5.0917000e+01   4.2000000e+00   4.2000000e+00   5.9000000e+00   8.1000000e+00   1.1400000e+01   1.4300000e+01   1.6300000e+01   1.6300000e+01   1.4200000e+01   1.1300000e+01   7.2000000e+00   5.1000000e+00
  -8.3000000e-02   5.0917000e+01   4.2000000e+00   4.2000000e+00   5.9000000e+00   8.1000000e+00   1.1500000e+01   1.4400000e+01   1.6400000e+01   1.6300000e+01   1.4300000e+01   1.1400000e+01   7.3000000e+00   5.2000000e+00
